,Unnamed: 0,ID,Title,Year,Age,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Type,TMDB ID
145,145,146,Get Me Roger Stone,2017,16+,81/100,1,0,0,0,0,448448
151,151,152,Maktub,2017,7+,80/100,1,0,0,0,0,80277
152,152,153,Ittefaq,2017,7+,80/100,1,0,0,0,0,166874
153,153,154,Hannah Gadsby: Nanette,2018,18+,80/100,1,0,0,0,0,529531
154,154,155,Ali Wong: Hard Knock Wife,2018,18+,80/100,1,0,0,0,0,518045
156,156,157,Uncut Gems,2019,18+,80/100,1,0,0,0,0,473033
157,157,158,The Kindergarten Teacher,2018,18+,80/100,1,0,0,0,0,489927
158,158,159,Les Misérables,2012,13+,80/100,1,0,1,0,0,4412
160,160,161,Next Gen,2018,7+,80/100,1,0,0,0,0,523777
161,161,162,Tom Segura: Disgraceful,2018,13+,80/100,1,0,0,0,0,497520
164,164,165,Badla,2019,7+,80/100,1,0,0,0,0,904789
166,166,167,The Willoughbys,2020,7+,80/100,1,0,0,0,0,560044
167,167,168,Hunt for the Wilderpeople,2016,13+,80/100,1,1,0,0,0,371645
169,169,170,Wheelman,2017,18+,79/100,1,0,0,0,0,471014
172,172,173,Gaga: Five Foot Two,2017,18+,79/100,1,0,0,0,0,472424
174,174,175,The Impossible,2012,13+,79/100,1,0,0,0,0,80278
175,175,176,War Dogs,2016,18+,79/100,1,0,0,0,0,236665
179,179,180,The Dirt,2019,18+,79/100,1,0,0,0,0,327331
183,183,184,El Camino: A Breaking Bad Movie,2019,18+,79/100,1,0,0,0,0,559969
188,188,189,Quincy,2018,18+,79/100,1,0,0,0,0,504561
192,192,193,Jerry Before Seinfeld,2017,16+,79/100,1,0,0,0,0,473812
195,195,196,Klaus,2019,7+,78/100,1,0,0,0,0,508965
196,196,197,Snowden,2016,18+,78/100,1,0,0,0,0,302401
204,204,205,The Founder,2017,13+,78/100,1,0,0,0,0,310307
207,207,208,Chef,2014,18+,78/100,1,0,0,0,0,212778
213,213,214,The Old Guard,2020,18+,78/100,1,0,0,0,0,403265
215,215,216,Before I Wake,2016,13+,78/100,1,0,0,0,0,74470
216,216,217,The Disaster Artist,2017,18+,78/100,1,0,0,0,0,371638
217,217,218,Fruitvale Station,2013,18+,77/100,1,0,0,0,0,157354
218,218,219,The Florida Project,2017,18+,77/100,1,0,0,0,0,394117
219,219,220,Behind the Curve,2018,16+,77/100,1,0,0,0,0,520777
220,220,221,Lawless,2012,18+,77/100,1,0,0,0,0,82633
224,224,225,The Master,2012,18+,77/100,1,0,0,0,0,68722
227,227,228,Steve Martin and Martin Short: An Evening You Will Forget for the Rest of Your Life,2018,16+,77/100,1,0,0,0,0,525814
231,231,232,Enola Holmes,2020,13+,77/100,1,0,0,0,0,497582
233,233,234,Good Time,2017,18+,77/100,1,0,0,0,0,429200
235,235,236,Miracle in Cell No. 7,2019,16+,77/100,1,0,0,0,0,638240
241,241,242,In the Shadow of the Moon,2019,18+,77/100,1,0,0,0,0,14284
245,245,246,John Leguizamo's Latin History for Morons,2018,7+,76/100,1,0,0,0,0,557606
247,247,248,The Killing of a Sacred Deer,2017,18+,76/100,1,0,0,0,0,399057
250,250,251,Bright,2017,18+,76/100,1,0,0,0,0,400106
252,252,253,Murder Mystery,2019,13+,76/100,1,0,0,0,0,514999
257,257,258,13th,2016,18+,76/100,1,0,0,0,0,407806
258,258,259,Ravenous,2017,18+,76/100,1,0,0,0,0,10212
263,263,264,The Two Popes,2019,13+,76/100,1,0,0,0,0,551332
266,266,267,Eye for an Eye,2019,18+,76/100,1,0,0,0,0,17182
269,269,270,Steve Jobs,2015,18+,76/100,1,0,0,0,0,321697
270,270,271,White Fang,2018,7+,76/100,1,0,0,1,0,12227
271,271,272,A Monster Calls,2016,13+,76/100,1,0,0,0,0,258230
272,272,273,Olympus Has Fallen,2013,18+,76/100,1,0,0,0,0,117263
278,278,279,Miss Sloane,2016,18+,76/100,1,0,0,0,0,376290
280,280,281,6 Underground,2019,18+,75/100,1,0,0,0,0,509967
281,281,282,Uncorked,2020,13+,75/100,1,0,0,0,0,254053
285,285,286,"Bikram: Yogi, Guru, Predator",2019,18+,75/100,1,0,0,0,0,621753
286,286,287,A Futile and Stupid Gesture,2018,18+,75/100,1,0,0,0,0,391710
287,287,288,The Dig,2021,13+,75/100,1,0,0,0,0,487287
289,289,290,Legend,2015,18+,75/100,1,0,0,0,0,11976
291,291,292,When We First Met,2018,16+,75/100,1,0,0,0,0,433310
294,294,295,Black Mirror: Bandersnatch,2018,18+,75/100,1,0,0,0,0,569547
295,295,296,Queen,2013,13+,75/100,1,0,0,0,0,229813
296,296,297,Joshua: Teenager vs. Superpower,2017,16+,75/100,1,0,0,0,0,433084
298,298,299,Shot Caller,2017,18+,75/100,1,0,0,0,0,339692
300,300,301,Angel Has Fallen,2019,18+,75/100,1,0,0,0,0,423204
301,301,302,Crimson Peak,2015,18+,75/100,1,0,0,0,0,201085
303,303,304,The Red Sea Diving Resort,2019,18+,75/100,1,0,0,0,0,465003
304,304,305,The Angel,2018,18+,75/100,1,0,0,0,0,468362
305,305,306,Army of the Dead,2021,18+,75/100,1,0,0,0,0,28939
306,306,307,Madagascar 3: Europe's Most Wanted,2012,7+,75/100,1,0,0,0,0,80321
307,307,308,Icarus,2017,18+,75/100,1,0,0,0,0,35402
308,308,309,Collateral Beauty,2016,13+,75/100,1,0,0,0,0,345920
309,309,310,The Danish Girl,2015,18+,75/100,1,0,0,0,0,306819
311,311,312,John Mulaney: New in Town,2012,18+,75/100,1,0,0,0,0,86705
313,313,314,The White Tiger,2021,18+,75/100,1,0,0,0,0,628534
316,316,317,The Death of Stalin,2017,18+,75/100,1,0,0,0,0,402897
318,318,319,Underworld: Awakening,2012,18+,74/100,1,1,0,0,0,52520
319,319,320,Philomena,2013,13+,74/100,1,0,0,0,0,205220
321,321,322,Nappily Ever After,2018,18+,74/100,1,0,0,0,0,519035
322,322,323,I Care a Lot,2021,18+,74/100,1,0,0,0,0,601666
323,323,324,The Butler,2013,13+,74/100,1,0,0,0,0,132363
