,ID,Title,Year,Age,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Type,TMDB ID
85,157,Uncut Gems,2019,18+,80/100,1,0,0,0,0,473033
86,158,The Kindergarten Teacher,2018,18+,80/100,1,0,0,0,0,489927
87,159,Les Misérables,2012,13+,80/100,1,0,1,0,0,4412
88,161,Next Gen,2018,7+,80/100,1,0,0,0,0,523777
89,162,Tom Segura: Disgraceful,2018,13+,80/100,1,0,0,0,0,497520
90,165,Badla,2019,7+,80/100,1,0,0,0,0,904789
91,167,The Willoughbys,2020,7+,80/100,1,0,0,0,0,560044
92,168,Hunt for the Wilderpeople,2016,13+,80/100,1,1,0,0,0,371645
93,170,Wheelman,2017,18+,79/100,1,0,0,0,0,471014
94,173,Gaga: Five Foot Two,2017,18+,79/100,1,0,0,0,0,472424
95,175,The Impossible,2012,13+,79/100,1,0,0,0,0,80278
96,176,War Dogs,2016,18+,79/100,1,0,0,0,0,236665
97,180,The Dirt,2019,18+,79/100,1,0,0,0,0,327331
98,184,El Camino: A Breaking Bad Movie,2019,18+,79/100,1,0,0,0,0,559969
99,189,Quincy,2018,18+,79/100,1,0,0,0,0,504561
100,193,Jerry Before Seinfeld,2017,16+,79/100,1,0,0,0,0,473812
101,196,Klaus,2019,7+,78/100,1,0,0,0,0,508965
102,197,Snowden,2016,18+,78/100,1,0,0,0,0,302401
103,205,The Founder,2017,13+,78/100,1,0,0,0,0,310307
104,208,Chef,2014,18+,78/100,1,0,0,0,0,212778
105,214,The Old Guard,2020,18+,78/100,1,0,0,0,0,403265
106,216,Before I Wake,2016,13+,78/100,1,0,0,0,0,74470
107,217,The Disaster Artist,2017,18+,78/100,1,0,0,0,0,371638
108,218,Fruitvale Station,2013,18+,77/100,1,0,0,0,0,157354
109,219,The Florida Project,2017,18+,77/100,1,0,0,0,0,394117
110,220,Behind the Curve,2018,16+,77/100,1,0,0,0,0,520777
111,221,Lawless,2012,18+,77/100,1,0,0,0,0,82633
