,ID,Title,Year,Age,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Type,TMDB ID,Correct ID,Vote Average,Vote Count,Genre,Movie Budget,Movie Revenue,Original Language
53,87,Silver Linings Playbook,2012,18+,84/100,1,0,0,0,0,82693,82693,7.122,10611,Drama,21000000,236412453,en
54,88,Over the Moon,2020,7+,84/100,1,0,0,0,0,126181,560050,7.314,1074,Animation,0,0,en
55,90,Nightcrawler,2014,18+,84/100,1,0,0,0,0,242582,242582,7.687,9106,Crime,8500000,50300000,en
56,91,1922,2017,18+,84/100,1,0,0,0,0,291519,452507,5.935,2266,Horror,0,0,en
57,92,Paddleton,2019,18+,84/100,1,0,0,0,0,525183,525183,7,207,Comedy,0,0,en
58,96,The Ritual,2017,18+,83/100,1,0,0,0,0,212930,433808,6.209,2338,Horror,1000000,1786396,en
59,97,The Hater,2020,18+,83/100,1,0,0,0,0,944904,590854,6.921,441,Drama,0,0,pl
60,99,22-Jul,2018,18+,83/100,1,0,0,0,0,474354,,,,,,,
61,100,Adam Sandler: 100% Fresh,2018,18+,83/100,1,0,0,0,0,517596,517596,7.302,86,Comedy,0,0,en
62,103,Dumplin',2018,13+,83/100,1,0,0,0,0,472734,472734,6.83,1246,Comedy,0,0,en
63,104,The Conjuring,2013,18+,83/100,1,0,0,0,0,138843,138843,7.533,9556,Horror,13000000,319494638,en
64,105,Marriage Story,2019,18+,83/100,1,0,0,0,0,492188,492188,7.769,5799,Drama,18000000,2300000,en
65,106,My Octopus Teacher,2020,all,83/100,1,0,0,0,0,682110,682110,7.944,648,Documentary,0,0,en
66,107,About Time,2013,13+,83/100,1,0,0,0,0,122906,122906,7.91,7015,Drama,12000000,87100449,en
67,108,Hey Arnold! The Jungle Movie,2017,7+,83/100,1,1,0,0,0,439058,439058,7.7,181,Family,0,0,en
68,114,The Theory of Everything,2014,13+,82/100,1,0,0,0,0,266856,266856,7.878,9419,Drama,15000000,123726688,en
69,122,How to Train Your Dragon 2,2014,7+,82/100,1,0,0,0,0,82702,82702,7.67,8229,Fantasy,145000000,621537500,en
70,127,Braven,2018,18+,82/100,1,0,0,0,0,459910,459910,6.242,840,Drama,5000000,854319,en
71,129,Captain Fantastic,2016,18+,82/100,1,0,0,0,0,334533,334533,7.932,5504,Adventure,5000000,23123592,en
72,130,Veronica,2017,18+,81/100,1,0,0,0,0,179796,441701,6.205,1440,Horror,0,0,es
73,133,Ricky Gervais: Humanity,2018,18+,81/100,1,0,0,0,0,508933,508933,7.741,338,Comedy,0,0,en
74,135,Lady Bird,2017,18+,81/100,1,0,0,0,0,391713,391713,7.3,7132,Drama,10000000,78966486,en
75,139,Bo Burnham: Inside,2021,18+,81/100,1,0,0,0,0,823754,823754,8.238,240,Comedy,0,0,en
76,140,Snowpiercer,2013,18+,81/100,1,0,0,0,0,110415,110415,6.887,8191,Action,39200000,86758912,ko
77,143,The Conjuring 2,2016,18+,81/100,1,0,0,0,0,259693,259693,7.283,6920,Horror,40000000,320392818,en
78,144,They'll Love Me When I'm Dead,2018,18+,81/100,1,0,0,0,0,538002,538002,7.3,107,Documentary,0,0,en
79,145,Nocturnal Animals,2016,18+,81/100,1,0,0,0,0,340666,340666,7.455,6593,Drama,22500000,29252978,en
80,146,Get Me Roger Stone,2017,16+,81/100,1,0,0,0,0,448448,448448,7.038,106,Documentary,0,0,en
81,152,Maktub,2017,7+,80/100,1,0,0,0,0,80277,475517,7.2,12,Comedy,0,0,he
82,153,Ittefaq,2017,7+,80/100,1,0,0,0,0,166874,464458,7,70,Crime,4400000,7900000,hi
83,154,Hannah Gadsby: Nanette,2018,18+,80/100,1,0,0,0,0,529531,529531,8.1,226,Comedy,0,0,en
84,155,Ali Wong: Hard Knock Wife,2018,18+,80/100,1,0,0,0,0,518045,518045,7,97,Comedy,0,0,en
85,157,Uncut Gems,2019,18+,80/100,1,0,0,0,0,473033,473033,7.13,3690,Drama,19000000,50020902,en
86,158,The Kindergarten Teacher,2018,18+,80/100,1,0,0,0,0,489927,489927,6.6,274,Drama,0,0,en
87,159,Les Misérables,2012,13+,80/100,1,0,1,0,0,4412,82695,7.342,4648,History,61000000,441809770,en
88,161,Next Gen,2018,7+,80/100,1,0,0,0,0,523777,523777,6.97,620,Animation,22000000,0,en
89,162,Tom Segura: Disgraceful,2018,13+,80/100,1,0,0,0,0,497520,497520,7,50,Comedy,0,0,en
90,165,Badla,2019,7+,80/100,1,0,0,0,0,904789,581361,7.443,97,Crime,0,0,hi
91,167,The Willoughbys,2020,7+,80/100,1,0,0,0,0,560044,560044,7.1,770,Animation,0,0,en
92,168,Hunt for the Wilderpeople,2016,13+,80/100,1,1,0,0,0,371645,371645,7.708,1643,Adventure,2500000,23200000,en
93,170,Wheelman,2017,18+,79/100,1,0,0,0,0,471014,471014,6.1,514,Action,0,0,en
94,173,Gaga: Five Foot Two,2017,18+,79/100,1,0,0,0,0,472424,472424,7.5,538,Music,0,0,en
95,175,The Impossible,2012,13+,79/100,1,0,0,0,0,80278,80278,7.357,5457,Thriller,45000000,198087212,en
96,176,War Dogs,2016,18+,79/100,1,0,0,0,0,236665,308266,6.879,3971,Comedy,40000000,86234523,en
97,180,The Dirt,2019,18+,79/100,1,0,0,0,0,327331,327331,7.518,987,Drama,0,0,en
98,184,El Camino: A Breaking Bad Movie,2019,18+,79/100,1,0,0,0,0,559969,559969,6.91,3854,Crime,0,0,en
99,189,Quincy,2018,18+,79/100,1,0,0,0,0,504561,504561,7.5,79,Documentary,0,0,en
100,193,Jerry Before Seinfeld,2017,16+,79/100,1,0,0,0,0,473812,473812,7,99,Comedy,0,0,en
101,196,Klaus,2019,7+,78/100,1,0,0,0,0,508965,508965,8.27,2988,Animation,0,0,en
102,197,Snowden,2016,18+,78/100,1,0,0,0,0,302401,302401,7.099,3780,Drama,40000000,37357216,en
103,205,The Founder,2017,13+,78/100,1,0,0,0,0,310307,310307,7.094,3992,Drama,15000000,24121245,en
104,208,Chef,2014,18+,78/100,1,0,0,0,0,212778,212778,7.118,2707,Comedy,11000000,45967935,en
105,214,The Old Guard,2020,18+,78/100,1,0,0,0,0,403265,547016,7.212,3399,Action,70000000,0,en
106,216,Before I Wake,2016,13+,78/100,1,0,0,0,0,74470,301804,6.427,1521,Drama,0,3295624,en
